CHURN,GENDER,STATUS,CAROWNER,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,CHILDREN,ESTINCOME,AGE,DROPPED,RATEPLAN,LONGDISTANCE,INTERNATIONAL,LOCAL,USAGE,PHASE
T,F,S,N,CC,Budget,Intnl_discount,1,38000.0,24.0,0,3,23.0,0.0,206.0,229.0,Adult
F,M,M,N,CH,FreeLocal,Standard,2,29616.0,49.0,0,2,29.0,0.0,45.0,75.0,Adult
F,M,M,N,CC,FreeLocal,Standard,0,19732.8,51.0,0,3,24.0,0.0,22.0,47.0,Adult
F,M,S,N,CC,Budget,Standard,2,96.33,56.0,1,1,26.0,0.0,32.0,59.0,Adult
F,M,M,N,CC,FreeLocal,Standard,2,53010.8,19.0,4,1,12.0,0.0,46.0,58.0,Adult
F,M,M,N,CC,Budget,Standard,0,19749.3,60.0,0,3,20.0,0.0,13.0,34.0,Adult
F,M,S,Y,CC,Budget,Standard,1,57626.9,44.0,0,2,9.0,0.0,38.0,48.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,2,47902.0,26.0,1,2,17.0,4.0,49.0,72.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,78851.3,48.0,0,4,0.0,0.0,28.0,29.0,Adult
T,F,S,Y,Auto,Budget,Standard,1,17540.7,63.0,0,4,22.0,0.0,13.0,36.0,Adult
T,F,M,N,CC,FreeLocal,Standard,2,28220.8,39.0,0,4,26.0,0.0,12.0,38.0,Adult
F,F,M,N,CC,Budget,Standard,2,5237.63,49.0,0,2,13.0,8.0,56.0,78.0,Adult
T,M,S,N,CC,FreeLocal,Standard,2,89459.9,53.0,0,2,11.0,1.0,22.0,36.0,Adult
T,F,S,N,CC,Budget,Standard,1,13576.5,39.0,0,1,14.0,0.0,25.0,40.0,Adult
T,F,M,N,CC,Budget,Standard,2,67388.0,53.0,1,3,4.0,0.0,91.0,96.0,Adult
F,F,M,Y,CH,Budget,Standard,1,57063.0,52.0,0,4,16.0,0.0,81.0,98.0,Adult
T,F,M,N,CC,Budget,Standard,2,84166.1,54.0,1,2,3.0,0.0,11.0,15.0,Adult
T,F,S,N,CC,FreeLocal,Standard,1,7737.94,43.0,0,4,11.0,0.0,50.0,61.0,Adult
T,F,M,N,CC,Budget,Intnl_discount,2,59613.1,34.0,0,1,12.0,0.0,163.0,175.0,Adult
T,F,S,N,CC,FreeLocal,Standard,2,9559.78,51.0,0,3,18.0,0.0,59.0,77.0,Adult
F,F,M,Y,Auto,FreeLocal,Intnl_discount,2,83284.1,28.0,0,4,26.0,0.0,9.0,35.0,Adult
T,M,S,N,Auto,Budget,Intnl_discount,0,3601.71,49.0,0,4,9.0,4.0,111.0,125.0,Adult
F,F,M,N,CH,FreeLocal,Intnl_discount,0,72642.6,28.0,0,4,18.0,0.0,20.0,39.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,98716.3,56.0,0,4,20.0,8.0,13.0,43.0,Adult
T,F,M,N,CH,FreeLocal,Standard,2,84789.3,50.0,0,4,14.0,8.0,10.0,33.0,Adult
T,F,M,Y,Auto,FreeLocal,Intnl_discount,2,35976.5,49.0,0,4,18.0,0.0,31.0,50.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,1,77129.1,62.0,0,4,24.0,0.0,20.0,44.0,Adult
F,F,M,N,CH,FreeLocal,Standard,2,8204.72,53.0,0,3,15.0,0.0,24.0,39.0,Adult
F,F,M,N,CC,FreeLocal,Standard,0,80405.1,60.0,0,4,2.0,8.0,17.0,28.0,Adult
T,M,S,Y,CC,FreeLocal,Intnl_discount,0,64136.6,61.0,0,2,16.0,1.0,125.0,142.0,Adult
T,F,M,Y,CH,FreeLocal,Standard,2,45429.7,62.0,0,2,24.0,0.0,73.0,97.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,25285.5,54.0,0,1,9.0,0.0,11.0,21.0,Adult
F,F,M,Y,CC,Budget,Intnl_discount,2,77551.1,34.0,1,2,20.0,0.0,41.0,62.0,Adult
T,F,S,Y,CC,Budget,Standard,2,21021.6,63.0,0,3,1.0,0.0,11.0,14.0,Adult
T,M,S,Y,CC,FreeLocal,Standard,0,74460.7,55.0,0,2,25.0,0.0,179.0,206.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,2,62061.8,46.0,0,2,29.0,0.0,52.0,82.0,Adult
T,F,M,Y,CC,Budget,Standard,1,20550.9,22.0,0,3,27.0,0.0,57.0,85.0,Adult
T,F,S,N,Auto,Budget,Standard,2,19131.1,56.0,0,2,22.0,0.0,34.0,57.0,Adult
F,F,S,N,CC,Budget,Standard,2,83073.7,40.0,0,4,0.0,0.0,3.0,3.0,Adult
F,M,M,Y,Auto,Budget,Intnl_discount,2,42750.3,50.0,0,1,20.0,1.0,112.0,134.0,Adult
T,F,S,N,Auto,Budget,Intnl_discount,2,2842.55,46.0,0,2,0.0,0.0,0.0,0.0,Adult
F,M,M,N,CC,Budget,Standard,2,22358.1,53.0,0,1,15.0,1.0,12.0,29.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,0,7325.5,37.0,0,2,28.0,0.0,161.0,190.0,Adult
F,M,M,N,CC,Budget,Standard,2,28766.9,47.0,0,1,6.0,0.0,58.0,64.0,Adult
F,M,M,Y,CC,FreeLocal,Standard,2,91272.2,25.0,0,3,26.0,0.0,13.0,40.0,Adult
F,M,M,Y,CC,Budget,Standard,2,1406.05,19.0,0,1,11.0,0.0,15.0,26.0,Adult
F,F,S,N,Auto,Budget,Standard,0,73228.3,62.0,0,4,22.0,0.0,28.0,50.0,Adult
F,F,S,N,Auto,FreeLocal,Standard,2,76231.9,64.0,0,2,2.0,0.0,150.0,152.0,Adult
T,M,M,N,CH,FreeLocal,Standard,1,64792.3,52.0,0,3,13.0,1.0,36.0,51.0,Adult
T,F,S,Y,CH,Budget,Intnl_discount,0,93322.1,40.0,0,1,29.0,0.0,8.0,38.0,Adult
T,M,M,N,CC,Budget,Intnl_discount,1,63437.3,64.0,0,4,0.0,3.0,10.0,14.0,Adult
F,M,M,Y,CC,Budget,Standard,2,49910.7,52.0,0,3,27.0,0.0,23.0,51.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,76161.4,45.0,0,4,11.0,0.0,25.0,37.0,Adult
F,M,M,Y,CC,FreeLocal,Standard,2,57360.8,53.0,0,1,10.0,0.0,57.0,67.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,92414.7,46.0,0,4,29.0,0.0,10.0,40.0,Adult
T,M,M,N,CH,FreeLocal,Standard,1,60102.7,42.0,1,3,9.0,0.0,62.0,72.0,Adult
F,F,M,N,CC,Budget,Standard,2,17888.7,55.0,0,1,29.0,0.0,332.0,361.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,1,12526.3,54.0,0,2,11.0,0.0,28.0,40.0,Adult
T,F,S,Y,Auto,Budget,Standard,2,14578.8,61.0,0,1,11.0,0.0,95.0,107.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,78572.2,42.0,1,4,21.0,0.0,29.0,51.0,Adult
F,F,M,Y,CC,Budget,Standard,2,87578.2,53.0,0,1,0.0,0.0,22.0,22.0,Adult
F,F,S,N,CC,Budget,Intnl_discount,2,76791.2,61.0,0,4,20.0,0.0,23.0,43.0,Adult
F,F,M,N,Auto,FreeLocal,Intnl_discount,0,83287.0,45.0,4,3,29.0,0.0,90.0,119.0,Adult
T,M,S,Y,Auto,Budget,Standard,0,2056.06,19.0,0,2,24.0,6.0,27.0,58.0,Adult
F,M,M,N,CC,Budget,Intnl_discount,1,2067.82,48.0,0,4,15.0,0.0,70.0,85.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,69343.3,42.0,0,2,6.0,0.0,15.0,21.0,Adult
F,F,M,N,Auto,Budget,Standard,0,77000.0,55.0,2,4,0.0,0.0,23.0,24.0,Adult
F,F,S,N,CC,Budget,Intnl_discount,0,27498.1,42.0,0,4,2.0,0.0,9.0,12.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,21419.9,60.0,0,1,26.0,0.0,103.0,129.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,2,30665.2,23.0,0,3,5.0,8.0,63.0,77.0,Adult
F,F,M,Y,Auto,FreeLocal,Intnl_discount,1,66000.0,63.0,0,2,6.0,0.0,30.0,37.0,Adult
F,F,M,N,CH,Budget,Standard,2,50561.3,52.0,1,2,16.0,0.0,113.0,129.0,Adult
T,F,S,Y,CC,Budget,Intnl_discount,2,23464.0,70.0,0,3,22.0,0.0,41.0,64.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,194.57,42.0,0,4,28.0,0.0,38.0,67.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,1,98680.4,55.0,0,4,17.0,0.0,8.0,26.0,Adult
T,M,M,Y,CC,Budget,Standard,1,65619.7,46.0,0,3,13.0,0.0,144.0,158.0,Adult
F,F,S,N,Auto,FreeLocal,Intnl_discount,0,85275.0,47.0,0,2,22.0,0.0,151.0,174.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,1,98453.6,46.0,0,3,13.0,0.0,11.0,25.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,2,94026.8,28.0,0,3,25.0,0.0,10.0,35.0,Adult
F,F,S,Y,Auto,Budget,Standard,2,57420.0,61.0,1,2,25.0,0.0,252.0,277.0,Adult
F,F,M,Y,CC,FreeLocal,Standard,2,18296.4,43.0,0,3,0.0,0.0,10.0,10.0,Adult
F,F,S,N,Auto,FreeLocal,Standard,1,68000.0,60.0,0,3,22.0,0.0,63.0,86.0,Adult
F,F,S,N,Auto,Budget,Standard,2,86747.1,65.0,0,3,20.0,0.0,37.0,57.0,Adult
F,F,M,N,Auto,Budget,Standard,1,87404.6,63.0,0,3,21.0,0.0,139.0,160.0,Adult
F,M,S,N,CC,FreeLocal,Intnl_discount,2,20919.0,28.0,0,2,6.0,4.0,153.0,164.0,Adult
F,F,M,Y,Auto,Budget,Intnl_discount,2,85394.0,20.0,1,4,19.0,2.0,14.0,35.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,2121.36,40.0,1,3,2.0,0.0,36.0,38.0,Adult
F,F,M,Y,CH,Budget,Intnl_discount,2,63566.1,56.0,0,2,7.0,0.0,65.0,73.0,Adult
F,F,M,Y,CC,FreeLocal,Intnl_discount,2,82644.2,33.0,0,4,21.0,0.0,19.0,41.0,Adult
F,F,M,N,CH,Budget,Standard,2,34577.7,63.0,3,2,29.0,0.0,116.0,145.0,Adult
T,F,S,Y,CC,FreeLocal,Standard,2,19008.4,52.0,0,4,10.0,0.0,137.0,147.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,0,98056.3,56.0,0,3,23.0,0.0,126.0,150.0,Adult
T,M,M,Y,CH,Budget,Standard,0,73400.0,64.0,0,4,0.0,0.0,2.0,2.0,Adult
F,M,M,N,CH,Budget,Intnl_discount,0,78894.2,28.0,0,2,2.0,1.0,43.0,46.0,Adult
T,M,S,Y,CH,Budget,Intnl_discount,1,16432.1,21.0,0,1,20.0,8.0,80.0,109.0,Adult
T,M,S,Y,CC,Budget,Standard,1,71329.9,42.0,0,3,14.0,3.0,45.0,63.0,Adult
T,F,S,N,CC,FreeLocal,Standard,0,20913.6,53.0,0,4,22.0,7.0,65.0,95.0,Adult
T,M,M,N,CC,FreeLocal,Intnl_discount,1,75799.9,46.0,0,3,22.0,7.0,64.0,94.0,Adult
T,F,S,N,CC,Budget,Standard,2,15688.5,53.0,0,4,14.0,0.0,8.0,22.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,0,5185.31,62.0,0,2,16.0,5.0,30.0,52.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,80087.7,42.0,0,4,8.0,0.0,22.0,31.0,Adult
F,F,M,N,CC,Budget,Standard,2,59691.3,38.0,0,2,21.0,0.0,256.0,278.0,Adult
T,F,S,Y,CC,FreeLocal,Standard,2,11251.1,61.0,0,2,28.0,0.0,113.0,141.0,Adult
T,M,M,N,CC,FreeLocal,Standard,0,70908.7,50.0,0,4,7.0,4.0,43.0,55.0,Adult
T,M,S,N,CH,FreeLocal,Standard,0,94928.3,40.0,0,4,14.0,5.0,73.0,93.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,2,50622.3,40.0,0,2,20.0,2.0,90.0,112.0,Adult
T,M,M,Y,CH,Budget,Standard,0,100020.0,52.0,0,4,29.0,0.0,62.0,92.0,Adult
F,F,M,N,CC,FreeLocal,Standard,1,56722.8,61.0,0,2,17.0,6.0,51.0,74.0,Adult
T,M,M,N,CC,Budget,Intnl_discount,1,80000.0,53.0,0,3,0.0,0.0,3.0,3.0,Adult
T,F,S,Y,CC,Budget,Standard,2,3416.62,23.0,0,4,18.0,0.0,104.0,123.0,Adult
F,F,M,Y,Auto,Budget,Standard,0,73400.0,56.0,0,2,0.0,0.0,10.0,10.0,Adult
T,M,M,Y,CC,FreeLocal,Standard,0,120000.0,53.0,0,4,15.0,0.0,25.0,40.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,8032.16,46.0,0,2,29.0,0.0,59.0,88.0,Adult
F,F,S,Y,Auto,FreeLocal,Standard,1,93454.3,49.0,0,4,18.0,0.0,25.0,44.0,Adult
F,F,S,N,Auto,Budget,Standard,0,83287.0,77.0,0,4,0.0,7.0,208.0,215.0,Adult
F,F,S,Y,Auto,FreeLocal,Standard,0,92564.1,49.0,0,3,23.0,0.0,51.0,74.0,Adult
F,F,M,Y,CC,FreeLocal,Standard,2,48322.5,49.0,0,1,6.0,0.0,43.0,50.0,Adult
F,F,M,Y,CC,FreeLocal,Standard,2,81913.8,50.0,0,1,6.0,0.0,46.0,53.0,Adult
T,F,S,N,CH,Budget,Standard,0,919.93,38.0,0,3,27.0,0.0,93.0,120.0,Adult
F,F,M,N,CC,Budget,Standard,2,69486.8,31.0,1,1,7.0,0.0,9.0,17.0,Adult
F,F,M,N,CH,Budget,Intnl_discount,2,24482.8,34.0,0,4,0.0,0.0,2.0,2.0,Adult
F,F,M,N,CC,Budget,Standard,0,14573.6,65.0,0,4,26.0,0.0,236.0,263.0,Adult
T,F,S,N,CC,FreeLocal,Intnl_discount,0,17138.2,64.0,0,3,20.0,0.0,84.0,104.0,Adult
F,F,M,N,CC,Budget,Intnl_discount,2,47010.1,57.0,0,1,2.0,0.0,164.0,167.0,Adult
F,M,M,Y,CC,FreeLocal,Standard,1,69406.7,30.0,1,2,6.0,7.0,128.0,142.0,Adult
F,F,M,N,CC,Budget,Standard,2,83259.3,51.0,0,4,0.0,0.0,4.0,4.0,Adult
F,F,M,N,CH,Budget,Standard,2,2185.6,53.0,1,1,7.0,0.0,20.0,28.0,Adult
T,M,M,N,CC,FreeLocal,Standard,1,76511.3,62.0,0,2,21.0,3.0,17.0,42.0,Adult
T,F,M,N,CH,FreeLocal,Standard,1,6946.07,23.0,0,2,25.0,0.0,8.0,34.0,Adult
F,F,M,Y,CC,Budget,Standard,2,11234.7,49.0,0,3,0.0,0.0,112.0,113.0,Adult
F,F,M,Y,Auto,FreeLocal,Standard,2,63670.8,46.0,0,2,27.0,0.0,51.0,78.0,Adult
T,M,S,N,CC,Budget,Standard,0,83287.0,45.0,0,2,29.0,5.0,35.0,70.0,Adult
F,F,S,Y,Auto,Budget,Standard,1,66000.0,45.0,0,1,20.0,0.0,100.0,120.0,Adult
F,F,M,N,Auto,FreeLocal,Standard,1,82931.3,65.0,0,2,19.0,0.0,118.0,137.0,Adult
F,F,M,N,CH,Budget,Standard,2,57483.9,44.0,0,2,17.0,0.0,27.0,44.0,Adult
T,F,S,N,Auto,FreeLocal,Standard,2,21274.0,46.0,0,2,10.0,0.0,32.0,43.0,Adult
F,F,M,N,CC,FreeLocal,Standard,2,28267.0,30.0,0,2,21.0,0.0,192.0,214.0,Adult
F,F,M,N,CH,Budget,Standard,2,36725.1,56.0,0,2,8.0,9.0,77.0,94.0,Adult
T,F,S,Y,Auto,FreeLocal,Standard,1,12374.9,33.0,0,3,17.0,0.0,106.0,123.0,Adult
F,F,M,Y,CH,FreeLocal,Standard,2,69133.9,27.0,0,2,8.0,0.0,37.0,46.0,Adult
F,F,M,Y,CH,FreeLocal,Intnl_discount,2,84948.0,29.0,0,3,11.0,0.0,12.0,23.0,Adult
F,F,M,N,Auto,Budget,Standard,2,30998.8,41.0,0,2,2.0,0.0,50.0,52.0,Adult
